repo_full_name,sha,author_login,author_date,committer_login,committer_date,message
tensorflow/tensorflow,04bf7518fe6bd7e7466397cd002f5cd85a99339e,hawkinsp,2026-01-31T23:55:47Z,tensorflower-gardener,2026-02-01T00:05:44Z,Update nanobind pin to v2.11.0.  PiperOrigin-RevId: 863759333
tensorflow/tensorflow,a40049be0ecdedb474bbd21fd6f76e48723c6f81,junwhanahn,2026-01-31T21:00:53Z,tensorflower-gardener,2026-01-31T21:08:43Z,Switch `LoadExecutable::executable_version()` to return `shared_ptr<const ExecutableVersion>`  This gives implementations an option to cache the executable version creation and reuse in successive calls.  PiperOrigin-RevId: 863726388
tensorflow/tensorflow,ade55bc2c8711af81f140eb2e4664f7157293fdc,hyeontaek,2026-01-31T19:04:51Z,tensorflower-gardener,2026-01-31T19:14:38Z,[IFRT] Add `Client::GetDefaultLayout()` and `Array::layout()` implementations that use PjRt layout methods internally  This change implements IFRT `Client::GetDefaultLayout()` and `Array::layout()` methods within IFRT runtimes. The implementation is minimal:  * `Client::GetDefaultLayout()` delegates
tensorflow/tensorflow,44095cfd797fbe0c549f4a4d3d26abafa4c4f434,tensorflower-gardener,2026-01-31T14:53:06Z,tensorflower-gardener,2026-01-31T15:04:49Z,Automated Code Change  PiperOrigin-RevId: 863651845
tensorflow/tensorflow,bbda1bae9d6cf7b9a296030716265c72def91b31,metaflow,2026-01-31T12:18:58Z,tensorflower-gardener,2026-01-31T12:27:14Z,[XLA:GPU] support scaled-dot for convert_triton_gemm_config pass  update test to use filecheck instead of walking the HLO  PiperOrigin-RevId: 863620904
tensorflow/tensorflow,9899cb0263d90c2e468bd4502fd1c7e35fd7ffb1,tensorflower-gardener,2026-01-31T06:01:13Z,tensorflower-gardener,2026-01-31T06:10:05Z,Automated Code Change  PiperOrigin-RevId: 863534883
tensorflow/tensorflow,b3763804e5b4800355db5f18dda7d110728e271a,dsharletg,2026-01-31T03:04:11Z,tensorflower-gardener,2026-01-31T03:08:55Z,Don't handle any matrix-vector or vector-matrix dot ops in YNNPACK  PiperOrigin-RevId: 863487383
tensorflow/tensorflow,e52e993720e1276d35139c0d79722130f5feffb0,hittanshubhanderi20,2026-01-31T02:07:53Z,tensorflower-gardener,2026-01-31T02:18:36Z,"PR #36975: [HLO] Add option to print inline stack frames.  Imported from GitHub PR https://github.com/openxla/xla/pull/36975  Issue No.: #36953  📝 Summary of Changes Added a new debug option xla_hlo_print_inline_stack_frames to DebugOptions. When enabled, the HLO printer resolves stack_frame_ids and"
tensorflow/tensorflow,5b3611092bcad1539c6c3a96d8b3dc657e4c8cd1,fengwuyao,2026-01-31T01:40:25Z,tensorflower-gardener,2026-01-31T01:51:03Z,Add FLOAT16 storage type to GPU common tensor.  PiperOrigin-RevId: 863462778
tensorflow/tensorflow,a2d24d54e2170a84573e37ba24e2f46f65987bf7,ddunl,2026-01-31T01:27:11Z,tensorflower-gardener,2026-01-31T01:34:35Z,Delete `TslSrcRoot` now that there are no users  PiperOrigin-RevId: 863457909
tensorflow/tensorflow,7e765f8dbb9197b59ba5a8f2fb793fd6c7af4291,apivovarov,2026-01-31T00:44:49Z,tensorflower-gardener,2026-01-31T00:52:32Z,"[XLA:GPU] Fix MultiGpuBarrierKernel initialization safety  Changes:  - Switches the barrier logic from post-increment to pre-increment. This ensures the first barrier execution synchronizes on step 1 (instead of 0), allowing all counters and buffers to be safely initialized to zero without causing t"
tensorflow/tensorflow,0a3550ac429e5917fd048d3ebb5b56f2a015fda1,fengwuyao,2026-01-31T00:09:28Z,tensorflower-gardener,2026-01-31T00:18:16Z,Include fp16.h from third_party/FP16.  PiperOrigin-RevId: 863431411
torvalds/linux,96c4af418586ee9a6aab61738644366426e05316,sprasad-microsoft,2026-01-31T18:51:13Z,smfrench,2026-02-08T23:07:43Z,"cifs: Fix locking usage for tcon fields  We used to use the cifs_tcp_ses_lock to protect a lot of objects that are not just the server, ses or tcon lists. We later introduced srv_lock, ses_lock and tc_lock to protect fields within the corresponding structs. This was done to provide a more granular p"
torvalds/linux,037ddbcc107acbf3e45e7f5841a92ceb87001ee3,sprasad-microsoft,2026-01-31T18:51:12Z,smfrench,2026-02-08T23:07:43Z,cifs: Corrections to lock ordering notes  There were a couple of discrepencies in lock ordering for the locks that were specified in the lock ordering notes. Did an analysis of the current codebase (using LLM) and found two pairs whose ordering in these notes were wrong. It also found one lock that 
torvalds/linux,2c1238a7477a2e76a49161937fc20a04c74dbd76,sprasad-microsoft,2026-01-31T08:33:06Z,smfrench,2026-02-08T23:07:43Z,"cifs: make retry logic in read/write path consistent with other paths  Today in most other code paths in cifs.ko, the decision of whether to retry a command depends on two mount options: retrans and hard. However, the read/write code paths diverged from this and would only retry if the error returne"
torvalds/linux,a5ca32d031bbba5160e1f555aabb75a3f40f918d,sprasad-microsoft,2026-01-31T08:33:05Z,smfrench,2026-02-08T23:07:43Z,"netfs: avoid double increment of retry_count in subreq  This change fixes the instance of double incrementing of retry_count. The increment of this count already happens when netfs_reissue_write gets called. Incrementing this value before is not necessary.  Fixes: 4acb665cf4f3 (""netfs: Work around r"
torvalds/linux,82e8885bd7633a36ee9050e6d7f348a4155eed5f,sprasad-microsoft,2026-01-31T08:33:04Z,smfrench,2026-02-08T23:07:43Z,"netfs: when subreq is marked for retry, do not check if it faced an error  The *_subreq_terminated functions today only process the NEED_RETRY flag when the subreq was successful or failed with EAGAIN error. However, there could be other retriable errors for network filesystems.  Avoid this by proce"
torvalds/linux,16d480ed4990ed5aefb99c111dd14131a338e3c9,sprasad-microsoft,2026-01-31T08:33:03Z,smfrench,2026-02-08T23:07:43Z,"cifs: on replayable errors back-off before replay, not after  On replayable errors, we call smb2_should_replays that does these things today: 1. decide if we need to replay the command again 2. sleep to back-off the failed request 3. update the next sleep value  We will not be able to use this for a"
torvalds/linux,674fb053e95d63b4810142c3a2fa357353014d29,toblux,2026-01-31T22:44:11Z,andreas-gaisler,2026-02-06T14:15:09Z,"sparc: vio: Replace snprintf with strscpy in vio_create_one  Replace snprintf(""%s"", ...) with the faster and more direct strscpy().  Signed-off-by: Thorsten Blum <thorsten.blum@linux.dev> Reviewed-by: Andreas Larsson <andreas@gaisler.com> Signed-off-by: Andreas Larsson <andreas@gaisler.com>"
torvalds/linux,cd966e406b2aa08b76949cdd4e57458f4afe38b0,toblux,2026-01-31T21:42:47Z,herbertx,2026-02-06T10:52:22Z,crypto: cesa - Simplify return statement in mv_cesa_dequeue_req_locked  Return the result of calling crypto_dequeue_request() directly and remove the local return variable.  Signed-off-by: Thorsten Blum <thorsten.blum@linux.dev> Signed-off-by: Herbert Xu <herbert@gondor.apana.org.au>
torvalds/linux,a22d48cbe55814061d46db2f87090ba5e36aaf7f,abajk,2026-01-31T17:43:03Z,herbertx,2026-02-06T10:52:22Z,"crypto: testmgr - Add test vectors for authenc(hmac(sha224),cbc(aes))  Test vectors were generated starting from existing CBC(AES) test vectors (RFC3602, NIST SP800-38A) and adding HMAC(SHA224) computed with Python script. Then, the results were double-checked on Mediatek MT7981 (safexcel) and NXP P"
torvalds/linux,030218dedee2628ea3f035d71431e1b7c4191cfb,abajk,2026-01-31T17:38:47Z,herbertx,2026-02-06T10:52:22Z,"crypto: testmgr - Add test vectors for authenc(hmac(sha384),cbc(aes))  Test vectors were generated starting from existing CBC(AES) test vectors (RFC3602, NIST SP800-38A) and adding HMAC(SHA384) computed with Python script. Then, the results were double-checked on Mediatek MT7981 (safexcel) and NXP P"
torvalds/linux,2005aabe94eaab8608879d98afb901bc99bc3a31,unknown,2026-01-31T23:24:41Z,unknown,2026-02-05T18:53:12Z,"functionfs: use spinlock for FFS_DEACTIVATED/FFS_CLOSING transitions  When all files are closed, functionfs needs ffs_data_reset() to be done before any further opens are allowed.  During that time we have ffs->state set to FFS_CLOSING; that makes ->open() fail with -EBUSY.  Once ffs_data_reset() is"
golang/go,fb45b084c82d7d863edff5e3ccf2f302056cd8e6,ianlancetaylor,2026-01-31T03:18:14Z,gopherbot,2026-02-06T23:39:54Z,cmd/link: only run ELF tests on ELF systems  Running these tests on other systems is a pointless waste of time. This runs cmd/link/internal/ld/elf_test.go in the same cases that we run cmd/link/elf_test.go.  Change-Id: I318fb5c2de9e4cfdb976bc2389c72cede6661b47 Reviewed-on: https://go-review.googleso
golang/go,ad170e18540be19bd6db012ff221c01e8c9745e9,ianlancetaylor,2026-01-31T03:15:31Z,gopherbot,2026-02-06T23:30:44Z,"cmd/link: make TestTypePlacement work on AIX  The existing code was just wrong. On AIX the go.type section is folded into the .text section (when internally linking), or the .data section (when externally linking). It follows that the data section adjustment is useless when internally linking, which"
golang/go,9fd5a5fa7d9d629ded8d4685dcc5984268258edb,ianlancetaylor,2026-01-31T03:06:19Z,gopherbot,2026-02-06T23:30:41Z,"cmd/link: use correct alignment for type descriptors on AIX  CL 724261 changed the linker to put all type descriptors that are used for typelinks in a single list. This caused trouble on AIX when linking externally, because the AIX linker aligns symbols individually, rather than honoring the layout "
golang/go,bd1b41eb8131a503a1a8d2fc41d3e79bce159468,ianlancetaylor,2026-01-31T02:42:27Z,gopherbot,2026-02-04T19:28:03Z,"reflect, runtime: adjust user-created GCData on AIX  On AIX the runtime adjusts the GCData field in getGCMaskOnDemand to account for the AIX dynamic loader moving the data section. That works fine for statically generated types, but it breaks user generated types. The user generated type will have a"
