repo_full_name,pr_number,title,state,user_login,created_at,updated_at,closed_at,merged_at,draft,comments,review_comments,labels
facebook/react,35718,[DevTools] Don't capture durations for disconnected subtrees when profiling,closed,hoxyq,2026-02-07T20:04:14Z,2026-02-09T22:18:20Z,2026-02-09T22:18:17Z,2026-02-09T22:18:17Z,False,0,0,"[""CLA Signed""]"
facebook/react,35717,fix: complete partial hook chain on unwind to prevent corruption (#33580),open,DukeDeSouth,2026-02-07T14:22:23Z,2026-02-08T17:04:21Z,,,False,0,0,"[""CLA Signed""]"
facebook/react,35716,bug-fix: DevTools - Error logic for missing nodes while deletion,open,11Warrior,2026-02-07T12:24:14Z,2026-02-07T17:39:47Z,,,False,0,0,"[""CLA Signed""]"
tensorflow/tensorflow,109950,Fix MatrixSolve GPU handling for singular matrices,open,Rabba-Meghana,2026-02-07T21:15:18Z,2026-02-10T00:57:56Z,,,False,0,0,"[""awaiting review"", ""size:S"", ""prtype:bugfix"", ""comp:core""]"
tensorflow/tensorflow,109948,[XLA] Add nesting to SymbolicTiledHloInstruction (experimental tiling),open,copybara-service[bot],2026-02-07T17:34:00Z,2026-02-09T11:34:59Z,,,True,0,0,[]
tensorflow/tensorflow,109947,Automated Code Change,closed,copybara-service[bot],2026-02-07T16:46:32Z,2026-02-12T04:24:28Z,2026-02-12T04:24:28Z,2026-02-12T04:24:28Z,True,0,0,[]
tensorflow/tensorflow,109946,Automated Code Change,closed,copybara-service[bot],2026-02-07T15:07:13Z,2026-02-08T03:51:25Z,2026-02-08T03:51:24Z,2026-02-08T03:51:25Z,True,0,0,[]
tensorflow/tensorflow,109945,Automated Code Change,open,copybara-service[bot],2026-02-07T14:31:19Z,2026-02-07T14:31:19Z,,,True,0,0,[]
tensorflow/tensorflow,109944,Automated Code Change,open,copybara-service[bot],2026-02-07T14:27:21Z,2026-02-07T14:27:21Z,,,True,0,0,[]
tensorflow/tensorflow,109943,Automated Code Change,open,copybara-service[bot],2026-02-07T13:55:15Z,2026-02-07T13:55:15Z,,,True,0,0,[]
tensorflow/tensorflow,109942,Automated Code Change,open,copybara-service[bot],2026-02-07T13:39:06Z,2026-02-10T06:22:51Z,,,True,0,0,[]
tensorflow/tensorflow,109941,Automated Code Change,open,copybara-service[bot],2026-02-07T12:28:34Z,2026-02-07T12:28:34Z,,,True,0,0,[]
tensorflow/tensorflow,109940,Automated Code Change,open,copybara-service[bot],2026-02-07T12:25:33Z,2026-02-07T12:25:33Z,,,True,0,0,[]
tensorflow/tensorflow,109939,Automated Code Change,open,copybara-service[bot],2026-02-07T11:52:12Z,2026-02-07T20:03:29Z,,,True,0,0,[]
tensorflow/tensorflow,109938,Automated Code Change,open,copybara-service[bot],2026-02-07T11:51:56Z,2026-02-07T11:51:56Z,,,True,0,0,[]
tensorflow/tensorflow,109937,Automated Code Change,open,copybara-service[bot],2026-02-07T11:49:54Z,2026-02-07T11:49:54Z,,,True,0,0,[]
tensorflow/tensorflow,109936,Automated Code Change,open,copybara-service[bot],2026-02-07T11:45:19Z,2026-02-07T11:45:19Z,,,True,0,0,[]
tensorflow/tensorflow,109935,Automated Code Change,open,copybara-service[bot],2026-02-07T11:28:16Z,2026-02-07T11:28:16Z,,,True,0,0,[]
tensorflow/tensorflow,109934,Automated Code Change,closed,copybara-service[bot],2026-02-07T11:03:19Z,2026-02-08T04:29:25Z,2026-02-08T04:29:25Z,2026-02-08T04:29:25Z,True,0,0,[]
tensorflow/tensorflow,109932,Automated Code Change,open,copybara-service[bot],2026-02-07T09:43:44Z,2026-02-07T09:43:44Z,,,True,0,0,[]
tensorflow/tensorflow,109931,Automated Code Change,open,copybara-service[bot],2026-02-07T09:42:13Z,2026-02-07T09:42:13Z,,,True,0,0,[]
tensorflow/tensorflow,109930,Automated Code Change,open,copybara-service[bot],2026-02-07T09:33:40Z,2026-02-07T09:33:40Z,,,True,0,0,[]
