repo_full_name,sha,author_login,author_date,committer_login,committer_date,message
facebook/react,870cccd656bc0188c04ef8b53e8f7f1b78d486d9,josephsavona,2026-01-23T19:26:47Z,web-flow,2026-01-23T19:26:47Z,"[compiler] Summaries of the compiler passes to assist agents in development (#35595)  Autogenerated summaries of each of the compiler passes which allow agents to get the key ideas of a compiler pass, including key input/output invariants, without having to reprocess the file each time. In the subse"
facebook/react,c3b95b0979757edb9507a7b0c80fc220a96330b3,josephsavona,2026-01-23T19:26:33Z,web-flow,2026-01-23T19:26:33Z,"[compiler] Improve snap workflow for debugging errors (#35539)  Much nicer workflow for working through errors in the compiler: * Run `yarn snap -w`, oops there are are errors * Hit 'p' to select a fixture => the suggestions populate with recent failures, sorted alphabetically. No need to copy/paste"
facebook/react,006ae379727ebceb82d03929222a71104d01135f,josephsavona,2026-01-23T19:07:11Z,web-flow,2026-01-23T19:07:11Z,"[compiler] Collapse CompilerError.{invariant,simpleInvariant} (#35614)  `invariant()` was a pain to use - we always record a single location, but the API required passing a compiler detail. This PR replaces `invariant()` (keeping the name) with `simpleInvariant()`s signature, and updates call sites "
facebook/react,a688a3d18cfd911bf9c5e6a7ddc1af7c061b9653,josephsavona,2026-01-23T18:41:17Z,web-flow,2026-01-23T18:41:17Z,"worktree script improvements (#35603)  A few small improvements: * Use `<root>/.worktrees` as the directory for worktrees so its hidden by default in finder/ls * Generate names with a timestamp, and allow auto-generating a name so that you can just call eg `./scripts/worktree.sh --compiler --claude`"
facebook/react,2c8725fdfd13705487d13dce008d62c605cd7f73,josephsavona,2026-01-23T18:38:40Z,web-flow,2026-01-23T18:38:40Z,"[compiler] snap fails if nothing compiled, unless @expectNothingCompiled (#35615)  A few times an agent has constructed fixtures that are silently skipped because the component has no jsx or hook calls. This PR updates snap to ensure that for each fixture either:  1) There are at least one compile s"
facebook/react,03613cd68c9e1d7ec5cb1eceb91f27f1935a7b8b,josephsavona,2026-01-23T18:36:55Z,web-flow,2026-01-23T18:36:55Z,[compiler] Improve snap usability (#35537)  A whole bunch of changes to snap aimed at making it more usable for humans and agents. Here's the new CLI interface:  ``` node dist/main.js --help Options:       --version         Show version number                            [boolean]       --sync       
facebook/react,2af6822c2108eabc0228d7809aa27c00bb2ebb53,josephsavona,2026-01-23T18:36:43Z,web-flow,2026-01-23T18:36:43Z,[compiler] Claude file/settings (#35523)  Initializes CLAUDE.md and a settings file for the compiler/ directory to help use claude with the compiler. Note that some of the commands here depend on changes to snap from the next PR.  --- [//]: # (BEGIN SAPLING FOOTER) Stack created with [Sapling](https
facebook/react,24d8716e366909129ffd66670e1e530e6796097d,eps1lon,2026-01-23T15:30:08Z,web-flow,2026-01-23T15:30:08Z,Gitignore local Claude files (#35610)
facebook/react,94913cbffeff60c862ef818ca62cdc329dc2fd57,hoxyq,2026-01-23T10:46:30Z,web-flow,2026-01-23T10:46:30Z,"[flags] cleanup renameElementSymbol (#35600)  Removed the feature flag completely, enabled by default. Will land once I have everything ready on xplat side."
torvalds/linux,90f7520b76fab89852287d78ed7919a647c68c1d,superm1,2026-01-23T03:34:53Z,herbertx,2026-02-06T10:36:08Z,crypto: ccp - Add sysfs attribute for boot integrity  The boot integrity attribute represents that the CPU or APU is used for the hardware root of trust in the boot process.  This bit only represents the CPU/APU and some vendors have other hardware root of trust implementations specific to their des
torvalds/linux,b525fcaf0a76507f152d58c6f9e5ef67b3ff552c,petrpavlu,2026-01-23T10:26:57Z,jpoimboe,2026-02-05T16:00:45Z,"livepatch: Free klp_{object,func}_ext data after initialization  The klp_object_ext and klp_func_ext data, which are stored in the __klp_objects and __klp_funcs sections, respectively, are not needed after they are used to create the actual klp_object and klp_func instances. This operation is implem"
torvalds/linux,ab10815472fcbc2c772dc21a979460b7f74f0145,petrpavlu,2026-01-23T10:26:56Z,jpoimboe,2026-02-05T16:00:44Z,"livepatch: Fix having __klp_objects relics in non-livepatch modules  The linker script scripts/module.lds.S specifies that all input __klp_objects sections should be consolidated into an output section of the same name, and start/stop symbols should be created to enable scripts/livepatch/init.c to l"
torvalds/linux,bb36170d959fad7f663f91eb9c32a84dd86bef2b,kpoosa,2026-01-23T17:32:38Z,unknown,2026-02-04T15:41:07Z,"drm/xe/pm: Disable D3Cold for BMG only on specific platforms  Restrict D3Cold disablement for BMG to unsupported NUC platforms, instead of disabling it on all platforms.  Signed-off-by: Karthik Poosa <karthik.poosa@intel.com> Fixes: 3e331a6715ee (""drm/xe/pm: Temporarily disable D3Cold on BMG"") Link:"
torvalds/linux,719dc4b75561f7f11ff42ccf8401fcac72d3804f,fdmanana,2026-01-23T10:05:12Z,kdave,2026-02-03T06:56:24Z,"btrfs: do not BUG_ON() in btrfs_remove_block_group()  There's no need to BUG_ON(), we can just abort the transaction and return an error.  Reviewed-by: Johannes Thumshirn <johannes.thumshirn@wdc.com> Signed-off-by: Filipe Manana <fdmanana@suse.com> Reviewed-by: David Sterba <dsterba@suse.com> Signed"
torvalds/linux,6f926597f9837577f5ada47eaa764fea4a2ca9a3,fdmanana,2026-01-23T09:49:57Z,kdave,2026-02-03T06:56:24Z,"btrfs: abort transaction on error in btrfs_remove_block_group()  When btrfs_remove_block_group() fails we abort the transaction in its single caller (btrfs_remove_chunk()). This makes it harder to find out where exactly the failure happened, as several steps inside btrfs_remove_block_group() can fai"
