repo_full_name,sha,author_login,author_date,committer_login,committer_date,message
facebook/react,d29087523a09d2babff2ce258f3527944a0ecd2e,sebmarkbage,2026-01-20T01:53:05Z,web-flow,2026-01-20T01:53:05Z,Cancel animation when a custom Timeline is used (#35567)  Follow up to #35559.  The clean up function of the custom timeline doesn't necessarily clean up the animation. Just the timeline's internal state.  This affects Firefox which doesn't support ScrollTimeline so uses the polyfill's custom timeli
facebook/react,d343c39cce2909d65a46ffe9fc5270bfad98c4b9,sebmarkbage,2026-01-20T00:28:12Z,web-flow,2026-01-20T00:28:12Z,Remove Gesture warning when cloning the root (#35566)  Currently we always clone the root when a gesture transition happens. The was to add an optimization where if a Transition could be isolated to an absolutely positioned subtree then we could just clone that subtree or just do a plain insertion i
facebook/react,1ecd99c774131a6e5c689ee6fe38236e2032f693,sebmarkbage,2026-01-20T00:27:59Z,web-flow,2026-01-20T00:27:59Z,"Temporarily Mount useInsertionEffect while a Gesture snapshot is being computed (#35565)  `useInsertionEffect` is meant to be used to insert `<style>` tags that affect the layout. It allows precomputing a layout before it mounts.  Since we're not normally firing any effects during the ""apply gesture"
facebook/react,c55ffb5ca3b2ba3a09a978629d5a1548c0e8085b,sebmarkbage,2026-01-20T00:27:45Z,web-flow,2026-01-20T00:27:45Z,"Add Clean Up Callbacks to View Transition and Gesture Transition Events (#35564)  Stacked on #35556 and #35559.  Given that we don't automatically clean up all view transition animations since #35337 and browsers are buggy, it's important that you clean up any `Animation` started manually from the e"
facebook/react,a49952b303a646c17f4d667956639300840a3e5b,sebmarkbage,2026-01-20T00:26:28Z,web-flow,2026-01-20T00:26:28Z,"Properly clean up gesture Animations (#35559)  Follow up to #35337.  During a gesture, we always cancel the original animation and create a new one that we control. That's the one we need to add to the set that needs to be cancelled. Otherwise future gestures hang.  An unfortunate consequence is tha"
facebook/react,4bcf67e74657086ff7d8f951d6365db06cf1f72c,sebmarkbage,2026-01-20T00:26:09Z,web-flow,2026-01-20T00:26:09Z,Support onGestureEnter/Exit/Share/Update events (#35556)  This is like the onEnter/Exit/Share/Update events but for gestures. It allows manually controlling the animation using the passed timeline.
torvalds/linux,92010ab6dbacc0e0f3566d92a84ff00a939e7fd4,unknown,2026-01-20T13:18:27Z,unknown,2026-02-08T23:47:29Z,"lib/find_bit: fix uninitialized variable use in FIND_NTH_BIT  In the FIND_NTH_BIT macro, if the 'size' parameter is 0, both the loop conditions and the modulo condition are not met. Consequently, the 'tmp' variable remains uninitialized before being used in the 'found' label.  This results in the fo"
torvalds/linux,742fe830b7d9c01b5c36add9f664a5267caca4f5,zenghongling0719,2026-01-20T08:33:33Z,unknown,2026-02-03T11:04:19Z,sched/cpufreq: Use %pe format for PTR_ERR() printing  Use %pe format specifier for printing PTR_ERR() error values to make error messages more readable.  Found by Coccinelle: ./cpufreq_schedutil.c:685:49-56: WARNING: Consider using %pe to print PTR_ERR()  Signed-off-by: zenghongling <zenghongling@ky
torvalds/linux,3f8982543dae28159cec5fad33c1b3f5cd12314b,fdmanana,2026-01-20T20:07:32Z,kdave,2026-02-03T06:56:23Z,btrfs: remove out label in btrfs_wait_for_commit()  There is no point in having the label since all it does is return the value in the 'ret' variable. Instead make every goto return directly and remove the label.  Reviewed-by: Johannes Thumshirn <johannes.thumshirn@wdc.com> Signed-off-by: Filipe Man
torvalds/linux,5eb01bf4a9407e8d825ac9ee5b5a1ef2c1972e61,fdmanana,2026-01-20T20:06:57Z,kdave,2026-02-03T06:56:23Z,btrfs: remove out label in btrfs_init_space_info()  There is no point in having the label since all it does is return the value in the 'ret' variable. Instead make every goto return directly and remove the label.  Reviewed-by: Johannes Thumshirn <johannes.thumshirn@wdc.com> Signed-off-by: Filipe Man
torvalds/linux,cefef3cc128076813a7ba5cf34f80130dce3f0a2,fdmanana,2026-01-20T20:06:20Z,kdave,2026-02-03T06:56:23Z,btrfs: remove out label in btrfs_check_rw_degradable()  There is no point in having the label since all it does is return the value in the 'ret' variable. Instead make every goto return directly and remove the label.  Reviewed-by: Johannes Thumshirn <johannes.thumshirn@wdc.com> Signed-off-by: Filipe
golang/go,a977717393fd779921ca258988230dbc741f5912,unknown,2026-01-20T19:23:19Z,gopherbot,2026-01-27T15:52:07Z,"go/types, types2: add check for map value completeness in IndexExpr  An index expression can also go from map[K]V to V. Since V could be incomplete (due to some admittedly contrived syntax), we need a check.  Change-Id: I03ffbfc0e5bcc9129591d60dfbaa5fafcf8fb183 Reviewed-on: https://go-review.googles"
golang/go,a8291eb61402d4549b69803fc8f834ded45b1f6c,adonovan,2026-01-20T21:18:59Z,adonovan,2026-01-20T21:48:41Z,"cmd/compile/internal/staticinit: fix bug in global new(expr)  The StaticInit pass asserts that the operand of &v is a global, but this is not so for the &autotemp desugaring of new(expr).  (The variable has by that point escaped to the heap, so the object code calls runtime.newobject. A future optim"
apache/spark,d14bed9ae422630677e22ffe4253c1aaee970a45,zhengruifeng,2026-01-20T22:16:21Z,HyukjinKwon,2026-01-20T22:16:21Z,"[SPARK-55098][PYTHON] Vectorized UDFs with output batch size control fail with memory leak  ### What changes were proposed in this pull request? Fix a memory leak that when the output stream is stopped before EOS  Currently, memory is freed by `processor.close()` at EOS, but when python node is foll"
apache/spark,888fb67699ca936ef302b1924e8e6fa63dd68b34,khakhlyuk,2026-01-20T17:22:40Z,hvanhovell,2026-01-20T17:22:40Z,"[SPARK-55071][CONNECT][PYTHON] Make spark.addArtifact work with Windows paths  ### What changes were proposed in this pull request?  Currently, `spark.addArtifact` in pyspark connect does not support absolute Windows paths. E.g. this code ``` spark.addArtifact(""C:\\path\\to\\file.py"", pyfile=True) `"
apache/spark,dfea03626309d04b651fdfa92d58066f29a6b34d,pranavdev022,2026-01-20T17:20:14Z,hvanhovell,2026-01-20T17:20:14Z,"[SPARK-55097][SQL] Fix re-adding cached artifacts drops blocks silently issue  ### What changes were proposed in this pull request? After the introduction of the ref-counting logic for cloning sessions https://github.com/apache/spark/pull/52651, whenever an identical cached artifact (same session, s"
apache/spark,edc7c96741c4382f79956f7ff5b9077e45f92014,yaooqinn,2026-01-20T10:07:33Z,sarutak,2026-01-20T10:07:33Z,[SPARK-54374][SQL][UI] Enlarge the SVG viewBox attribute of SQL plan visualization initialization  ### What changes were proposed in this pull request?  This is a follow-up to SPARK-54373. Enlarge the SVG viewBox attribute of SQL plan visualization initialization from a 100×100 window to an availabl
apache/spark,5f925fddfff8ff9ad0f2d9816b27ffe07fde2db5,zhengruifeng,2026-01-20T10:03:17Z,zhengruifeng,2026-01-20T10:03:17Z,"[SPARK-55096][PYTHON] Update pandas minimum version in `connect/setup.py`  ### What changes were proposed in this pull request? Update pandas minimum version in `connect/setup.py`  ### Why are the changes needed? the version had been upgrade to 2.2.0 in spark 4.1, but we forgot to update `connect/se"
apache/spark,4d3b45db9195b20f312aaccf8f5fbac9b6ee2f5c,zhengruifeng,2026-01-20T07:54:46Z,zhengruifeng,2026-01-20T07:54:46Z,[SPARK-54849][PYTHON][FOLLOW-UP] Update minimum version of pyarrow in `setup.py` and `pyspark_upgrade.rst`  ### What changes were proposed in this pull request? Update minimum version of pyarrow in `setup.py` and `pyspark_upgrade.rst`  ### Why are the changes needed? the two parts were missing in pr
apache/spark,2af1cfeedaa5d97ff494a88c5df57a69e6c7ceea,cloud-fan,2026-01-20T07:09:22Z,yaooqinn,2026-01-20T07:09:22Z,[SPARK-55091][SQL] Reduce Hive RPC calls for DROP TABLE command  ### What changes were proposed in this pull request?  This PR optimizes the DROP TABLE command to reduce the number of Hive RPC calls by:  1. **Remove redundant checks in `SessionCatalog.getTableRawMetadata`** - removed `requireDbExist
apache/spark,4aea124e58f2b6868765eabc90c31728b1a03c65,chenhao-db,2026-01-20T04:19:42Z,cloud-fan,2026-01-20T04:19:42Z,"[SPARK-55026][CORE][SQL] Optimize BestEffortLazyVal  ### What changes were proposed in this pull request?  The change is inspired by https://github.com/apache/spark/pull/49212#discussion_r1904755002, although I don't use `AtomicReferenceFieldUpdater`, but use `VarHandle`, which is a more modern util"
apache/spark,a5ed572a6e607b6426b8b60b2a3ee51f00ed995e,zhengruifeng,2026-01-20T04:14:22Z,zhengruifeng,2026-01-20T04:14:22Z,"[SPARK-55036][PYTHON] Add `ArrowTimestampConversion` for arrow timezone handling  ### What changes were proposed in this pull request? Add `ArrowTimeStampConversion` for arrow timezone handling  ### Why are the changes needed? revisit existing timezone handling in pandas udf, introduce a new pure py"
apache/spark,9f0b2383a4a611ea348494ea24c95c37db642f34,gaogaotiantian,2026-01-20T03:45:49Z,HyukjinKwon,2026-01-20T03:45:49Z,"[SPARK-55053][PYTHON] Refactor data source/udtf analysis workers so they have a unified entry  ### What changes were proposed in this pull request?  * A new `util.py` file is added in `pyspark.sql.worker` to handle the common logic for all planner workers. * All the worker modules in that folder, in"
apache/spark,fe2985172f5756b680181ef6c65eaddb2efb8f17,cloud-fan,2026-01-20T03:34:23Z,cloud-fan,2026-01-20T03:34:23Z,[SPARK-55016][SQL] Make SQLConf a direct property of SparkSession to prevent stack overflow  ### What changes were proposed in this pull request?  This PR fixes the stack overflow issue that occurs when `SQLConf.get` is called during `sessionState` initialization.  The root cause is a circular depen
apache/spark,880a0cf0910f042f2d4d7ea7cad46ff49c8fcad4,zhengruifeng,2026-01-20T02:51:32Z,HyukjinKwon,2026-01-20T02:51:32Z,[SPARK-55089][CONNECT] Correct the output schema of toJSON  ### What changes were proposed in this pull request? Correct the output schema of toJSON  ### Why are the changes needed? classic: ```scala scala> import org.apache.spark.sql.functions._ import org.apache.spark.sql.functions._  scala> val d
apache/spark,daa21cd2bd46c857cf07e8a70c162448c94aa408,cloud-fan,2026-01-20T00:39:09Z,cloud-fan,2026-01-20T00:39:09Z,[SPARK-54873][SQL] Simplify V2TableReference resolution as only temp view may contain it  ### What changes were proposed in this pull request?  Currently we resolve `V2TableReference` at multiple places in the rule `ResolveRelations`. Actually only temp view with resolved plan (not SQL view) may con
langchain-ai/langchain,7dc2c777eaa20f0fcf9036aa60ea12071b15ebce,mdrxy,2026-01-20T22:57:17Z,web-flow,2026-01-20T22:57:17Z,feat(infra): org membership checker (#34822)
langchain-ai/langchain,9b8c211f981e37b97c7b9635f124bf36e5e8b8cf,mdrxy,2026-01-20T21:32:45Z,web-flow,2026-01-20T21:32:45Z,test(fireworks): fix model name (#34819)  i guess we were using an outdated/no longer supported alias
pallets/flask,3d03098a97ddc6a908aa4a50c2ef7381f8297d0a,marcows,2026-01-20T13:16:17Z,marcows,2026-01-27T08:18:37Z,"Abort if the instance folder cannot be created  According to the comment, the instance folder should exist in any case. But a PermissionError was ignored silently.  Since Python 3.9 is the minimum required version, it is safe to use ""exist_ok"" added in Python 3.2 and avoid exception handling."
docker/compose,c428a77111d56683b823a47590eb08de5c59a162,ndeloof,2026-01-20T12:40:08Z,glours,2026-01-20T12:57:53Z,set fsnotify build tag when building for OSX  Signed-off-by: Nicolas De Loof <nicolas.deloof@gmail.com>
docker/compose,04b4a832dc48d1e4a9fa5793a6725cb3320c691d,dgageot,2026-01-20T09:56:25Z,glours,2026-01-20T10:34:11Z,"chore(lint): add forbidigo rules to enforce t.Context() in tests  Add linter rules to prevent usage of context.Background() and context.TODO() in test files - t.Context() should be used instead.  The rules only apply to *_test.go files, not production code.  Note: os.Setenv is not covered by forbidi"
docker/compose,27faa3b84e659a3dc7fbf8639b77193387f79980,dgageot,2026-01-20T09:33:54Z,glours,2026-01-20T10:34:11Z,"test: replace os.MkdirTemp with t.TempDir()  Use t.TempDir() which automatically cleans up the temporary directory when the test completes, eliminating the need for manual cleanup.  Go 1.14 modernization pattern.  Assisted-By: cagent Signed-off-by: David Gageot <david.gageot@docker.com>"
docker/compose,bcc0401e0e3e3b70bd9e28f46e8e2e7d6eb4b089,dgageot,2026-01-20T09:32:02Z,glours,2026-01-20T10:34:11Z,"test: replace os.Setenv with t.Setenv()  Use t.Setenv() which automatically restores the original value when the test completes, eliminating the need for manual cleanup.  Go 1.18 modernization pattern.  Assisted-By: cagent Signed-off-by: David Gageot <david.gageot@docker.com>"
docker/compose,093205121cbe3cf8a05b5a02e024bf7185b3c970,dgageot,2026-01-20T09:30:31Z,glours,2026-01-20T10:34:11Z,test: replace context.Background()/context.TODO() with t.Context()  Replace manual context creation with t.Context() which is automatically cancelled when the test completes.  Go 1.24 modernization pattern.  Assisted-By: cagent Signed-off-by: David Gageot <david.gageot@docker.com>
docker/compose,b92b87dd9c3abdd2baa87daafa6d9a94d66daaa1,amyssnippet,2026-01-20T07:14:01Z,ndeloof,2026-01-20T07:34:15Z,fix: robustly handle large file change batches in watch mode  Ensured all watcher and sync goroutines and channels are robustly closed on context cancellation or error. Added explicit logging for large batches and context cancellation to prevent stuck processes and ensure graceful shutdown on Ctrl-C
duckdb/duckdb,e12dbc99677e3e95ead132145dc85187f441f3e9,krenzland,2026-01-20T15:24:09Z,krenzland,2026-02-05T11:58:22Z,"Always re-pin threads  Even when increasing the number of threads. This avoids weird issues when the affinity mask changes during execution. Now, all threads will be pinned similarly."
