repo_full_name,pr_number,title,state,user_login,created_at,updated_at,closed_at,merged_at,draft,comments,review_comments,labels
facebook/react,35549,[flags] Remove enableHydrationLaneScheduling,closed,rickhanlonii,2026-01-17T21:17:47Z,2026-01-22T18:54:16Z,2026-01-22T18:51:49Z,2026-01-22T18:51:49Z,False,0,0,"[""CLA Signed"", ""React Core Team""]"
facebook/react,35548,[flags] add enableEffectEventMutationPhase,closed,rickhanlonii,2026-01-17T21:02:50Z,2026-02-04T20:04:57Z,2026-02-04T20:04:57Z,2026-02-04T20:04:57Z,False,0,0,"[""CLA Signed"", ""React Core Team""]"
facebook/react,35547,[tests] add silent reporter,closed,rickhanlonii,2026-01-17T18:28:02Z,2026-02-05T06:47:25Z,2026-01-18T15:17:17Z,2026-01-18T15:17:17Z,False,0,0,"[""CLA Signed"", ""React Core Team""]"
facebook/react,35546,[internal] revert change merged accidentally,closed,rickhanlonii,2026-01-17T18:17:06Z,2026-01-17T18:21:51Z,2026-01-17T18:21:47Z,2026-01-17T18:21:47Z,False,0,0,"[""CLA Signed"", ""React Core Team""]"
facebook/react,35544,Bump tar from 2.2.1 to 2.2.2 in /fixtures/packaging/webpack/dev,open,dependabot[bot],2026-01-17T09:52:42Z,2026-01-17T09:52:47Z,,,False,0,0,"[""CLA Signed"", ""dependencies"", ""javascript""]"
facebook/react,35542,Request documentation for library development process  Modification requested by students.,closed,mohammed-mhmu,2026-01-17T01:30:05Z,2026-01-17T02:15:08Z,2026-01-17T02:15:08Z,,False,0,0,"[""CLA Signed""]"
golang/go,77225,cmd/compile: add missing usemethod checks for reflect method iterators,open,Splizard,2026-01-17T22:57:43Z,2026-01-18T04:30:38Z,,,False,0,0,[]
golang/go,77224,syscall: document Sendfile semantics,closed,awmorgan,2026-01-17T21:18:19Z,2026-01-22T21:21:15Z,2026-01-22T21:21:15Z,,False,0,0,[]
golang/go,77220,crypto/tls: add minimal certificate verification on resumption,closed,rbqvq,2026-01-17T05:33:54Z,2026-01-24T08:03:39Z,2026-01-24T08:03:39Z,,False,0,0,[]
apache/spark,53845,[SPARK-55077][CORE][K8S]: Support spark.kubernetes.archives.avoidDownloadSchemes for K8s Cluster Mode,open,xumanbu,2026-01-17T02:10:43Z,2026-01-23T11:53:50Z,,,False,0,0,"[""CORE""]"
apache/spark,53844,[SPARK-55058][SS] Throw error on inconsistent checkpoint metadata,closed,jerrytq,2026-01-17T01:03:00Z,2026-01-26T18:30:24Z,2026-01-26T18:30:24Z,,False,0,0,"[""SQL"", ""STRUCTURED STREAMING""]"
langchain-ai/langchain,34793,fix(langchain): Handled Unbounded Local variable Error,closed,DineshThumma9,2026-01-17T13:50:27Z,2026-02-03T02:00:28Z,2026-02-03T01:56:57Z,,False,0,0,"[""langchain"", ""fix"", ""external""]"
langchain-ai/langchain,34791,fix(openai): handle null choices from model_dump() for vLLM compatibility,open,VedantMadane,2026-01-17T11:14:41Z,2026-02-10T09:56:05Z,,,False,0,0,"[""integration"", ""fix"", ""openai"", ""external""]"
langchain-ai/langchain,34789,fix(langchain): fix typo 'safegaurd' -> 'safeguard',closed,NAM-MAN,2026-01-17T07:31:32Z,2026-01-23T19:51:23Z,2026-01-23T19:51:23Z,2026-01-23T19:51:23Z,False,0,0,"[""fix"", ""langchain-classic"", ""external""]"
langchain-ai/langchain,34788,docs(langchain): nit,closed,mdrxy,2026-01-17T06:04:34Z,2026-01-22T21:13:08Z,2026-01-17T06:07:33Z,2026-01-17T06:07:33Z,False,0,0,"[""documentation"", ""langchain"", ""internal""]"
langchain-ai/langchain,34787,chore(deps): bump langgraph-checkpoint from 2.1.2 to 3.0.0 in /libs/cli in the uv group across 1 directory,closed,dependabot[bot],2026-01-17T03:45:38Z,2026-01-22T21:13:09Z,2026-01-17T06:07:59Z,2026-01-17T06:07:59Z,False,0,0,"[""infra"", ""dependencies"", ""cli"", ""langchain-classic"", ""python:uv"", ""external""]"
pallets/flask,5889,Revise Jinja templating documentation for clarity and readability,closed,RellikSai,2026-01-17T17:10:56Z,2026-02-01T00:13:56Z,2026-01-17T17:13:12Z,,False,0,0,[]
docker/compose,13525,Fix: Robust shutdown and error handling for large file change batches in docker compose watch,closed,amyssnippet,2026-01-17T06:24:58Z,2026-01-20T07:34:16Z,2026-01-20T07:34:16Z,2026-01-20T07:34:16Z,False,0,0,[]
duckdb/duckdb,20571,Bump MySQL,closed,staticlibs,2026-01-17T19:29:13Z,2026-01-19T14:14:45Z,2026-01-19T09:11:02Z,2026-01-19T09:11:02Z,False,0,0,[]
