full_name,name,owner_login,description,language,created_at,updated_at,pushed_at,stargazers_count,watchers_count,forks_count,open_issues_count,size,default_branch,has_wiki,has_pages,archived,disabled,license_name,topics,network_count,subscribers_count,snapshot_date
facebook/react,react,facebook,The library for web and native user interfaces.,JavaScript,2013-05-24T16:15:54Z,2026-02-09T12:00:00Z,2026-02-09T10:00:00Z,242224,243005,50564,1096,919445,main,False,True,False,False,MIT,"[""declarative"", ""frontend"", ""javascript"", ""library"", ""react"", ""ui""]",50584,6682,2026-02-09
tensorflow/tensorflow,tensorflow,tensorflow,An Open Source Machine Learning Framework for Everyone,C++,2015-11-07T01:19:20Z,2026-02-09T12:00:00Z,2026-02-09T10:00:00Z,192958,193646,75153,3380,1259107,master,False,False,False,False,Apache-2.0,"[""deep-learning"", ""deep-neural-networks"", ""distributed"", ""machine-learning"", ""ml"", ""neural-network"", ""python"", ""tensorflow""]",75177,7413,2026-02-09
microsoft/vscode,vscode,microsoft,Visual Studio Code,TypeScript,2015-09-03T20:23:38Z,2026-02-09T12:00:00Z,2026-02-09T10:00:00Z,179414,181537,37921,13521,1126557,main,True,False,False,False,MIT,"[""editor"", ""electron"", ""microsoft"", ""typescript"", ""visual-studio-code""]",37858,3405,2026-02-09
torvalds/linux,linux,torvalds,Linux kernel source tree,C,2011-09-04T22:48:12Z,2026-02-09T12:00:00Z,2026-02-09T10:00:00Z,217060,217022,60434,6,5965046,master,False,False,False,False,NOASSERTION,[],60422,8015,2026-02-09
golang/go,go,golang,The Go programming language,Go,2014-08-19T04:33:40Z,2026-02-09T12:00:00Z,2026-02-09T10:00:00Z,131314,132403,18777,9612,425542,master,True,False,False,False,BSD-3-Clause,"[""go"", ""golang"", ""language"", ""programming-language""]",18816,3339,2026-02-09
apache/spark,spark,apache,Apache Spark - A unified analytics engine for large-scale data processing,Scala,2014-02-25T08:00:08Z,2026-02-09T12:00:00Z,2026-02-09T10:00:00Z,42890,42770,29050,224,536690,master,False,True,False,False,Apache-2.0,"[""big-data"", ""java"", ""jdbc"", ""python"", ""r"", ""scala"", ""spark"", ""sql""]",29085,2009,2026-02-09
langchain-ai/langchain,langchain,langchain-ai,🦜🔗 The platform for reliable agents.,Python,2022-10-17T02:58:36Z,2026-02-09T12:00:00Z,2026-02-09T10:00:00Z,126080,126477,20781,393,514963,master,False,False,False,False,MIT,"[""agents"", ""ai"", ""ai-agents"", ""anthropic"", ""chatgpt"", ""deepagents"", ""enterprise"", ""framework"", ""gemini"", ""generative-ai"", ""langchain"", ""langgraph"", ""llm"", ""multiagent"", ""open-source"", ""openai"", ""pydantic"", ""python"", ""rag""]",20802,812,2026-02-09
pallets/flask,flask,pallets,The Python micro framework for building web applications.,Python,2010-04-06T11:11:59Z,2026-02-09T12:00:00Z,2026-02-09T10:00:00Z,70442,71163,16701,5,11559,main,False,False,False,False,BSD-3-Clause,"[""flask"", ""jinja"", ""pallets"", ""python"", ""web-framework"", ""werkzeug"", ""wsgi""]",16704,2093,2026-02-09
docker/compose,compose,docker,Define and run multi-container applications with Docker,Go,2013-12-09T11:40:58Z,2026-02-09T12:00:00Z,2026-02-09T10:00:00Z,36509,36967,5702,30,27615,main,False,False,False,False,Apache-2.0,"[""docker"", ""docker-compose"", ""go"", ""golang"", ""orchestration""]",5713,697,2026-02-09
duckdb/duckdb,duckdb,duckdb,DuckDB is an analytical in-process SQL database management system,C++,2018-06-26T15:04:45Z,2026-02-09T12:00:00Z,2026-02-09T10:00:00Z,35707,36004,2923,590,410689,main,False,False,False,False,MIT,"[""analytics"", ""database"", ""embedded-database"", ""olap"", ""sql""]",2923,241,2026-02-09
